"job_title","class_code","soc_code","soc_title","salary_range","department","category","description","source_url"
"Customer Service Representative","1805","43-4051","Customer Service Representatives","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Data Entry Clerk","1806","43-9021","Data Entry Keyers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"File Clerk","1807","43-4071","File Clerks","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Mail Clerk","1808","43-9051","Mail Clerks and Mail Machine Operators","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Office Manager","1809","43-1011","First-Line Supervisors of Office Workers","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Receptionist","1810","43-4171","Receptionists and Information Clerks","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Records Manager","1811","43-4071","File Clerks","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Secretary I","1812","43-6014","Secretaries and Administrative Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Secretary II","1813","43-6014","Secretaries and Administrative Assistants","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Switchboard Operator","1814","43-2011","Switchboard Operators","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
"Word Processor","1815","43-9022","Word Processors and Typists","","State of West Virginia","","","https://www.governmentjobs.com/careers/wv/classspecs"
