"JobCode","JobTitleAbbreviation","JobTitleFull","OccupationalGroupText","EEOText","WorkFunction","WorkLevel","SupervisionReceived"
"1307","Writer/Editor","Writer/Editor","Editors","Professionals","Communications, media production, design, and public relations","Professional","Moderate - Regular supervision with some independence"
"1401","911 Dispatcher","911 Dispatcher","Public Safety Telecommunicators","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"1402","Emergency Mgmt Coord","Emergency Management Coordinator","Emergency Management Directors","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Professional","Moderate - Regular supervision with some independence"
"1403","Emergency Mgmt Dir","Emergency Management Director","Emergency Management Directors","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Executive","Minimal - Reports to Executive Leadership"
"1404","Fire Chief","Fire Chief","First-Line Supervisors of Firefighting","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Executive","Minimal - Reports to Executive Leadership"
"1405","Fire Insp","Fire Inspector","Fire Inspectors and Investigators","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Entry Level","Close - Direct supervision, work reviewed frequently"
"1406","Firefighter","Firefighter","Firefighters","Protective Service Workers","Public safety, law enforcement, emergency response, and protective services","Professional","Moderate - Regular supervision with some independence"
"1407","Paramedic","Paramedic","Paramedics","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Professional","Moderate - Regular supervision with some independence"
"1501","Case Mgr","Case Manager","Child, Family, and School Social Workers","Professionals","Community services, counseling, case management, and social support","Management","General - Reports to Director/Executive"
"1502","Chil Prot Svcs Work","Child Protective Services Worker","Child, Family, and School Social Workers","Professionals","Community services, counseling, case management, and social support","Professional","Moderate - Regular supervision with some independence"
"1503","Community Health Worker","Community Health Worker","Community Health Workers","Professionals","Community services, counseling, case management, and social support","Professional","Moderate - Regular supervision with some independence"
"1504","Economic Svcs Worker","Economic Services Worker","Eligibility Interviewers, Government Programs","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"1505","Eligibility Spec","Eligibility Specialist","Eligibility Interviewers, Government Programs","Administrative Support","Administrative support, records management, and office operations","Professional","Limited - Works independently with periodic review"
"1506","Family Svcs Spec","Family Services Specialist","Child, Family, and School Social Workers","Professionals","Community services, counseling, case management, and social support","Professional","Limited - Works independently with periodic review"
"1507","Food Stamp Worker","Food Stamp Worker","Eligibility Interviewers, Government Programs","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"1510","Program Admin","Program Administrator","Social and Community Service Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","Moderate - Regular supervision with some independence"
"1511","Social Svcs Dir","Social Services Director","Social and Community Service Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Executive","Minimal - Reports to Executive Leadership"
"1515","Voca Reha Coun","Vocational Rehabilitation Counselor","Rehabilitation Counselors","Professionals","Community services, counseling, case management, and social support","Professional","Moderate - Regular supervision with some independence"
"1601","Buyer","Buyer","Purchasing Agents","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Moderate - Regular supervision with some independence"
"1602","Contract Admin","Contract Administrator","Purchasing Agents","Professionals","Business operations analysis, financial management, and administrative functions","Management","Moderate - Regular supervision with some independence"
"1603","Inventory Control Spec","Inventory Control Specialist","Stock Clerks and Order Fillers","Administrative Support","Administrative support, records management, and office operations","Entry Level","Close - Direct supervision, work reviewed frequently"
"1604","Procurement Ofcr","Procurement Officer","Purchasing Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Professional","Moderate - Regular supervision with some independence"
"1605","Purchasing Agent","Purchasing Agent","Purchasing Agents","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Moderate - Regular supervision with some independence"
"1606","Warehouse Mgr","Warehouse Manager","Transportation, Storage, and Distribution Managers","Officials and Administrators","Management and oversight of organizational operations, staff, and resources","Management","General - Reports to Director/Executive"
"1607","Warehouse Worker","Warehouse Worker","Laborers and Freight, Stock, and Material Movers","Service-Maintenance","Transportation, material handling, and logistics operations","Professional","Moderate - Regular supervision with some independence"
"1701","Agricultural Insp","Agricultural Inspector","Agricultural Inspectors","Skilled Craft Workers","Agricultural operations, farming, and natural resource management","Entry Level","Close - Direct supervision, work reviewed frequently"
"1702","Building Insp","Building Inspector","Construction and Building Inspectors","Skilled Craft Workers","Construction, building trades, and infrastructure maintenance","Entry Level","Close - Direct supervision, work reviewed frequently"
"1703","Compliance Ofcr","Compliance Officer","Compliance Officers","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Moderate - Regular supervision with some independence"
"1704","Electrical Insp","Electrical Inspector","Construction and Building Inspectors","Skilled Craft Workers","Construction, building trades, and infrastructure maintenance","Entry Level","Close - Direct supervision, work reviewed frequently"
"1705","Food Insp","Food Inspector","Agricultural Inspectors","Skilled Craft Workers","Agricultural operations, farming, and natural resource management","Entry Level","Close - Direct supervision, work reviewed frequently"
"1706","Health Insp","Health Inspector","Occupational Health and Safety Specialists","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Entry Level","Close - Direct supervision, work reviewed frequently"
"1707","License Examiner","License Examiner","Court, Municipal, and License Clerks","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"1708","Occupational Safety Insp","Occupational Safety Inspector","Occupational Health and Safety Specialists","Professionals","Healthcare delivery, patient care, medical diagnostics, and treatment","Entry Level","Close - Direct supervision, work reviewed frequently"
"1709","Plumbing Insp","Plumbing Inspector","Construction and Building Inspectors","Skilled Craft Workers","Construction, building trades, and infrastructure maintenance","Entry Level","Close - Direct supervision, work reviewed frequently"
"1710","Regulatory Analyst","Regulatory Analyst","Compliance Officers","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Limited - Works independently with periodic review"
"1711","Tax Compliance Ofcr","Tax Compliance Officer","Compliance Officers","Professionals","Business operations analysis, financial management, and administrative functions","Professional","Moderate - Regular supervision with some independence"
"1801","Admin Aide","Administrative Aide","Secretaries and Administrative Assistants","Administrative Support","Administrative support, records management, and office operations","Entry Level","Close - Direct supervision, work reviewed frequently"
"1802","Clerk I","Clerk I","Office Clerks, General","Administrative Support","Administrative support, records management, and office operations","Entry Level","Close - Direct supervision, work reviewed frequently"
"1803","Clerk II","Clerk II","Office Clerks, General","Administrative Support","Administrative support, records management, and office operations","Entry Level","Moderate - Regular supervision with some independence"
"1804","Clerk III","Clerk III","Office Clerks, General","Administrative Support","Administrative support, records management, and office operations","Entry Level","Limited - Works independently with periodic review"
"1805","Customer Service Rep","Customer Service Representative","Customer Service Representatives","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"1806","Data Entry Clerk","Data Entry Clerk","Data Entry Keyers","Administrative Support","Administrative support, records management, and office operations","Support","Close - Direct supervision, work reviewed frequently"
"1807","File Clerk","File Clerk","File Clerks","Administrative Support","Administrative support, records management, and office operations","Support","Close - Direct supervision, work reviewed frequently"
"1808","Mail Clerk","Mail Clerk","Mail Clerks and Mail Machine Operators","Administrative Support","Administrative support, records management, and office operations","Support","Close - Direct supervision, work reviewed frequently"
"1809","Office Mgr","Office Manager","First-Line Supervisors of Office Workers","Administrative Support","Administrative support, records management, and office operations","Management","General - Reports to Director/Executive"
"1810","Receptionist","Receptionist","Receptionists and Information Clerks","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"1811","Records Mgr","Records Manager","File Clerks","Administrative Support","Administrative support, records management, and office operations","Management","General - Reports to Director/Executive"
"1812","Secy I","Secretary I","Secretaries and Administrative Assistants","Administrative Support","Administrative support, records management, and office operations","Entry Level","Close - Direct supervision, work reviewed frequently"
"1813","Secy II","Secretary II","Secretaries and Administrative Assistants","Administrative Support","Administrative support, records management, and office operations","Entry Level","Moderate - Regular supervision with some independence"
"1814","Switchboard Operator","Switchboard Operator","Switchboard Operators","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
"1815","Word Processor","Word Processor","Word Processors and Typists","Administrative Support","Administrative support, records management, and office operations","Professional","Moderate - Regular supervision with some independence"
